"","num_of_experts","num_of_rounds","icc_mean","icc_SE","num_of_rounds_factor"
"1",1,1,0.674343691846488,0.0208971859127806,"1"
"2",1,2,0.766513955727271,0.0143717575272343,"2"
"3",1,3,0.803021288683289,0.0227413604305835,"3"
"4",2,1,0.824214033389992,0.0081875593281605,"1"
"5",2,2,0.889727591851411,0.00497573765765159,"2"
"6",2,3,0.913928803029899,0.00550928343200012,"3"
"7",3,1,0.891229358139214,0.0052326233777872,"1"
"8",3,2,0.941532123898695,0.00297234771025775,"2"
"9",3,3,0.959612086234766,0.00284100659566812,"3"
"10",4,1,0.929142216099567,0.0047918889395355,"1"
"11",4,2,0.969990054240422,0.00261651921520622,"2"
"12",4,3,0.98443203665517,0.00260697518052867,"3"
"13",5,1,0.953486630217457,0.0054534262511837,"1"
"14",5,2,0.987950951776115,0.00141985381762272,"2"
