"Cow","NV_DW_SB_KI_experts_mean","NV_DW_SB_KI_experts_sd"
"7136",9.36588182194439,0.897452305871448
"6086",20.6913250255585,0.573380514539622
"8083",17.0962736175603,0.786364540696636
"4026",17.4700772567571,0.575943815484626
"5064",11.0771188009231,0.808105658217479
"6094",11.5412533202853,0.56867447383415
"7163",10.8004911938827,0.817987552931802
"6062",14.1160978083164,0.802440816908574
"6053",13.1327880290869,0.872433622025796
"7138",13.775133699065,0.6761198635519
"7045",7.41098825095508,0.551099943023315
"7153",11.3274911366281,0.755634295913533
"6096",14.348675805645,0.827555636646566
"6088",24.0122754761299,0.550745807553528
"7114",12.5957733912422,0.626639116108601
"7116",23.1108286117268,0.561140456759579
"6025",13.8959185464211,0.591221837763094
"4008",19.9994103654743,0.596878801800146
"7060",9.21362545343618,0.698519486871727
"6029",7.58019653835811,0.549013147798142
"7109",12.3181338406486,0.619290477049519
"4035",27.2805005611159,0.453618156125857
"5087",26.5317200341921,0.488506066047061
"5118",10.2985220670326,0.69505372428073
"6095",20.0746347499308,0.703165203322553
"7128",11.0319888536723,0.610229229936469
"6046",9.02623132205899,0.811810148827775
"6068",13.9006188960921,0.696461126120147
"6092",9.25530419548953,0.499230907456273
"7064",12.7207213303705,0.600479607817226
