"Cow","NV_experts_mean","NV_experts_sd"
"4008",18.4025204825711,1.19224948459766
"4026",15.43602261449,1.20632605909762
"4035",25.414921919538,0.978956369562353
"5064",11.7208007265606,1.26144199040323
"5087",26.043895169405,0.937189559203955
"5118",10.5933748322617,1.11066191762042
"6025",14.2806775350111,1.27667863570974
"6029",6.78776699817252,0.970110915504922
"6046",7.83749436606781,0.950127917442238
"6053",17.3418841362346,1.06622391721698
"6062",12.6507820829068,1.19236214708026
"6068",17.7458883877055,1.2855764582903
"6086",22.6478458409243,1.0261621294004
"6088",24.6798675666479,1.01983285215367
"6092",8.36061156273762,1.18819091101496
"6094",8.09814056291892,1.02545004088482
"6095",21.44036028157,1.14351014526435
"6096",18.348949703842,1.12191236805689
"7045",6.93363637413929,0.917941339458221
"7060",9.28835234344298,1.00575301498572
"7064",16.9351305682561,1.10634756737595
"7109",10.3557994622564,1.08583031762951
"7114",9.27777683615697,1.0258654033081
"7116",20.5484688535611,1.12325342196085
"7128",9.54005437285723,1.08697466849972
"7136",5.91543170493098,0.993502286428708
"7138",15.8727670735409,1.24195266054238
"7153",9.90122696702437,1.14746977856618
"7163",12.7556845789819,1.0676799602109
"8083",19.8438660952863,1.14011941762193
