"Cow","all_experts_mean","all_experts_sd"
"4008",17.8294829812954,0.738163404953284
"4026",15.6403036446887,0.694883867741239
"4035",26.6587599539722,0.553928851618692
"5064",12.1140195493751,0.664964128025884
"5087",26.9319114208357,0.526651846312945
"5118",12.087578066556,0.671286706707839
"6025",13.4863118999281,0.692461393071445
"6029",8.74844224195522,0.628258160558944
"6046",9.4172158623604,0.661899447275709
"6053",13.5363641669569,0.677561843487432
"6062",13.1332200607264,0.73159437690392
"6068",13.5925709028643,0.747020936222627
"6086",19.4540836813588,0.733671202019745
"6088",24.1253426912313,0.674431347707842
"6092",10.5490715225269,0.588917330067948
"6094",11.6776611591889,0.730395593661722
"6095",18.0996057859997,0.732930752321897
"6096",14.4250176111303,0.685609573118412
"7045",9.06054216115392,0.635521284619584
"7060",10.3733108249215,0.652474720310488
"7064",13.6667162340943,0.670417843487405
"7109",12.4271142104482,0.743002296419556
"7114",12.2058170989974,0.719262892068632
"7116",19.1031596819777,0.766735523323077
"7128",12.2156922102815,0.724066787236563
"7136",10.2702906768177,0.658084915414271
"7138",13.8912687433577,0.703141991854405
"7153",11.4319850519642,0.634798641865959
"7163",11.9481225619482,0.728872458491429
"8083",16.8990173410874,0.783933995168612
