"Cow","sampled_milestone_min_click_worker_mean","sampled_milestone_min_click_worker_sd"
"4008",17.5175347529156,1.36857040567827
"4026",16.0878198303244,1.42782715661507
"4035",26.0017082131229,0.324696883270573
"5064",18.4285943835022,1.35670404233004
"5087",28.0111578678991,0.246202621200841
"5118",12.4679706488822,1.2970674434434
"6025",10.4545519412769,1.40243198471026
"6029",9.31684808109675,1.28002762266486
"6046",9.27865133743532,1.32269924848738
"6053",12.6081937851145,1.41396744402375
"6062",11.293561166776,1.38832517729124
"6068",16.1451965155455,1.41401507111426
"6086",18.2467062058218,0.721315743080625
"6088",20.0446372062284,1.3000563803555
"6092",11.1922169702098,1.37397199127074
"6094",7.07532083703134,1.33142064328995
"6095",18.6259879307795,1.32272782797704
"6096",11.6822427088174,0.472739452796842
"7045",8.81915461586058,0.443044460507036
"7060",8.62142280091669,1.2079344820815
"7064",17.5169926791574,1.36566349639278
"7109",12.858739936834,1.3320430276178
"7114",9.49422197546384,1.33664294101455
"7116",24.3677866833795,0.847612483425886
"7128",12.9602199485243,1.37976057899506
"7136",12.2832560329334,1.37583082843273
"7138",8.7227113593123,1.38867325369874
"7153",9.60091860693414,1.31325139929274
"7163",15.7041101745464,1.43542760460723
"8083",19.5715648033578,1.291116186229
